track_id,frame,fluorescence
1,0,1.1755491216195308
1,1,1.178398244189842
1,2,1.1761633684642068
1,3,1.1711299217827047
1,4,1.1763054030342925
1,5,1.1719148894069038
1,6,1.1760679382402366
1,7,1.1747089748232182
1,8,1.176042697473821
1,9,1.175935631643222
1,10,1.174871707369151
1,11,1.1753558475109558
1,12,1.17372244033596
1,13,1.1762177387931367
1,14,1.1763147884020524
1,15,1.1739925835395224
1,16,1.1772114678381453
1,17,1.1779164903726587
1,18,1.1750293816333683
1,19,1.1760246700526764
1,20,1.1781115272300717
1,21,1.1782466939572596
1,22,1.180848254470296
1,23,1.1804314824045157
1,24,1.1810415130890044
1,25,1.1790858995764173
1,26,1.1801149414864478
1,27,1.1788432354457314
1,28,1.1832215384484241
1,29,1.1820073122559327
1,30,1.1813769547114534
1,31,1.1829385562375905
1,32,1.1823763033070476
1,33,1.1831402065941645
1,34,1.1841275580914803
1,35,1.1818757676266238
1,36,1.1799161219293666
1,37,1.170902714360113
1,38,1.1631829847468358
1,39,1.1555095658510062
1,40,1.152745528010118
1,41,1.1549299752277074
1,42,1.154651999463086
1,43,1.1516709990382816
1,44,1.151059654449513
1,45,1.1524683424623243
1,46,1.1534741228447034
1,47,1.1533794561668849
1,48,1.1554770884070942
1,49,1.1565605699490265
1,50,1.1505118043378506
1,51,1.1552858845618452
1,52,1.1531517713838992
1,53,1.154312832960533
1,54,1.162259299604111
1,55,1.1653661752318412
1,56,1.1649176124271647
1,57,1.1686308476235285
1,58,1.1720011128769539
1,59,1.174343785924164
1,60,1.171418518423382
1,61,1.1736257752058004
1,62,1.175956030158538
1,63,1.1765102438570005
1,64,1.1757293103623625
1,65,1.1782346285588032
1,66,1.175153900973841
1,67,1.1783766187573939
1,68,1.177678103996037
1,69,1.1836232251702035
1,70,1.178655827551181
1,71,1.182453424827665
1,72,1.1826396234145913
1,73,1.1825800800849247
1,74,1.1878565399403551
1,75,1.1840697009854173
1,76,1.1844019966463553
1,77,1.1851907516680777
1,78,1.183314165771452
1,79,1.184844557719993
1,80,1.1853418481871565
2,0,1.1819310297298038
2,1,1.1801277502062815
2,2,1.1806269173485404
2,3,1.1784051273116207
2,4,1.1796404408636032
2,5,1.1787503542989928
2,6,1.1771117751511364
2,7,1.1795298586114984
2,8,1.1813311933862767
2,9,1.1794256689616385
2,10,1.1802376341048204
2,11,1.1806582382272999
2,12,1.178194526900563
2,13,1.1801770699040024
2,14,1.1794497528144272
2,15,1.1808774456333595
2,16,1.1802308161222332
2,17,1.179585807752002
2,18,1.180944572385129
2,19,1.1792279807497326
2,20,1.1809252843586828
2,21,1.1830093404863358
2,22,1.17943778438079
2,23,1.1822137317980266
2,24,1.1830138349663182
2,25,1.1810258269061835
2,26,1.1803914092089194
2,27,1.1817174616690296
2,28,1.1828683280318038
2,29,1.182560853642368
2,30,1.1818624920021061
2,31,1.1827806520637114
2,32,1.1830587037732274
2,33,1.18278416820935
2,34,1.1821497290531329
2,35,1.1812433885134588
2,36,1.181806572801741
2,37,1.1718120946154822
2,38,1.158189247518246
2,39,1.1526558986079847
2,40,1.1514069810909813
2,41,1.151898136006494
2,42,1.1517003203689462
2,43,1.1489638122404544
2,44,1.1478782556891427
2,45,1.1496755568665942
2,46,1.151174657932336
2,47,1.1480231433944026
2,48,1.1509652233864878
2,49,1.1508402716658743
2,50,1.1519560423433146
2,51,1.1517095002253157
2,52,1.1510086771710868
2,53,1.1522009333405172
2,54,1.162462786153978
2,55,1.1630525360979589
2,56,1.1655017811306292
2,57,1.1678375010132218
2,58,1.170010903741653
2,59,1.1741078537667895
2,60,1.1711616612310733
2,61,1.1746762256625147
2,62,1.178009803742219
2,63,1.1763406037265736
2,64,1.1782406814921589
2,65,1.179055602542644
2,66,1.1779100966453098
2,67,1.1762018324043084
2,68,1.1804640465088811
2,69,1.1790787570648513
2,70,1.182225718925341
2,71,1.184372967979564
2,72,1.1817436031701254
2,73,1.1845142443945031
2,74,1.1797150560212208
2,75,1.1847828718392064
2,76,1.1820786486183243
2,77,1.1842771210097163
2,78,1.1839794261644534
2,79,1.182015718067109
2,80,1.1866750272017272
3,0,1.188334586604862
3,1,1.181962909041889
3,2,1.1856164635008284
3,3,1.1828093273280174
3,4,1.182576488293066
3,5,1.1821388767362655
3,6,1.1871976923676282
3,7,1.182709640260291
3,8,1.1851510233054698
3,9,1.1899018164554684
3,10,1.18284922705107
3,11,1.1889740635206116
3,12,1.1837561669977177
3,13,1.1855158426667398
3,14,1.1843471661227178
3,15,1.188177906027643
3,16,1.188893926391367
3,17,1.1887275539591595
3,18,1.1852501993939093
3,19,1.1873324526444178
3,20,1.1863898076736388
3,21,1.1858789252162765
3,22,1.1876538787881856
3,23,1.1855013497598437
3,24,1.1905850745870652
3,25,1.1897352143757853
3,26,1.187242609079349
3,27,1.1873648509764776
3,28,1.1843184990715616
3,29,1.1886478020372302
3,30,1.189191600029296
3,31,1.1862514553454933
3,32,1.1896376353834246
3,33,1.1899638936533121
3,34,1.1872940714586304
3,35,1.185053243644106
3,36,1.184965249544602
3,37,1.168333156341408
3,38,1.151396280979566
3,39,1.1458383031132768
3,40,1.1437641895892656
3,41,1.142593407098401
3,42,1.1437276685964852
3,43,1.1446763514478495
3,44,1.1454285201211356
3,45,1.1446193327625307
3,46,1.1450200726046391
3,47,1.1452789794117064
3,48,1.1483802244507149
3,49,1.1462518952148957
3,50,1.1491809686776735
3,51,1.1517415443075312
3,52,1.1499023253904128
3,53,1.1518824912648957
3,54,1.1645518149524992
3,55,1.1763195569015
3,56,1.176896345690484
3,57,1.1790680902294808
3,58,1.177595553020272
3,59,1.1821318162772325
3,60,1.1810108201036194
3,61,1.1860626469134692
3,62,1.1880967716476016
3,63,1.184191022963841
3,64,1.1852492987799805
3,65,1.1880035380744114
3,66,1.1872480733692692
3,67,1.187446799219281
3,68,1.190739554792293
3,69,1.1887306048788484
3,70,1.1879127556126556
3,71,1.188748867673667
3,72,1.187357615327418
3,73,1.1878805787275537
3,74,1.1889475219810939
3,75,1.1888294753692514
3,76,1.1916269851539758
3,77,1.1899424982681797
3,78,1.1889111672480164
3,79,1.1897660632142295
3,80,1.1912738014395428
4,0,1.1577861279440762
4,1,1.1557773332113843
4,2,1.1545479927468005
4,3,1.1577701193771988
4,4,1.1560274791007383
4,5,1.1561787490072677
4,6,1.1529508537390534
4,7,1.1584119995408622
4,8,1.1561791485619723
4,9,1.1542768426139234
4,10,1.154886437559365
4,11,1.1559408103646385
4,12,1.1532511063089614
4,13,1.1544437371193954
4,14,1.157742812172242
4,15,1.1573685427924318
4,16,1.1562049466771882
4,17,1.1576376085023936
4,18,1.15820296105925
4,19,1.1555458742028983
4,20,1.1594391425582706
4,21,1.1560695320441179
4,22,1.161165660788893
4,23,1.1571168977523445
4,24,1.1612437090694394
4,25,1.1607431484997728
4,26,1.1603128748639149
4,27,1.1576360795208924
4,28,1.1594551788882554
4,29,1.1541085838799732
4,30,1.1613595501693192
4,31,1.15540838978045
4,32,1.161781706029239
4,33,1.1581665659164968
4,34,1.1571411309924557
4,35,1.1547489252023293
4,36,1.1565433810839831
4,37,1.1436592107564325
4,38,1.1310725652398614
4,39,1.1215386976992958
4,40,1.121610553448485
