track_id,frame,fluorescence
1,0,1.174158865131492
1,1,1.1760869763874453
1,2,1.1749113007620795
1,3,1.1788647740383054
1,4,1.1704761864978022
1,5,1.173283452958246
1,6,1.1732874676508736
1,7,1.1709796423637415
1,8,1.174865464816803
1,9,1.1741144133623451
1,10,1.1738511669831402
1,11,1.1735103236123796
1,12,1.1725977877008134
1,13,1.1728106196587786
1,14,1.1741209701702116
1,15,1.1755541030326957
1,16,1.174162999098359
1,17,1.175132407696315
1,18,1.1732949010136653
1,19,1.1743697134517606
1,20,1.1743607924154595
1,21,1.1740737992606711
1,22,1.1724769847650072
1,23,1.1730645750039137
1,24,1.1718542933040963
1,25,1.1733828051003912
1,26,1.174550246671252
1,27,1.1729036424943773
1,28,1.172231882569036
1,29,1.1692558170886922
1,30,1.1709298641946957
1,31,1.1720805177959246
1,32,1.1721774262292683
1,33,1.1710830015784133
1,34,1.1697734498938448
1,35,1.1706736712986556
1,36,1.1650247097278843
1,37,1.1618147666567988
1,38,1.1626286746824537
1,39,1.1566383343502078
1,40,1.1587514461029145
1,41,1.1599973425458736
1,42,1.157745619658357
1,43,1.159061957397353
1,44,1.1586622736951029
1,45,1.160737369397194
1,46,1.1601350871151452
1,47,1.1616779762189022
1,48,1.1613511873078697
1,49,1.1614078563837733
1,50,1.163660391372372
1,51,1.162482016951199
1,52,1.1594965968930904
1,53,1.1623437498050249
1,54,1.163046924618912
1,55,1.1602506867232936
1,56,1.1674102541445002
1,57,1.168877654621809
1,58,1.166680802807741
1,59,1.1678506610542796
1,60,1.1669866751792044
1,61,1.1693483057781002
1,62,1.169425298556306
1,63,1.170823493880804
1,64,1.1687260700082505
1,65,1.1713787173698382
1,66,1.167685650977556
1,67,1.168102679290547
1,68,1.1732274839077348
1,69,1.1692064942044436
1,70,1.1705698703249414
1,71,1.1702043821884625
1,72,1.1688114931656082
1,73,1.1709573321280438
1,74,1.173103515460792
1,75,1.171450210164009
1,76,1.16979343870153
1,77,1.1724687781798608
1,78,1.1735679445768783
1,79,1.1714189635070729
1,80,1.1700396694861137
2,0,1.1932323039394843
2,1,1.1912544807264185
